index,name,hex,r,g,b,c,m,y,k,combinations
119,Peacock Blue,#008c97,0,140,151,100,19,43,0,131 286
120,Green Blue,#008f97,0,143,151,82,24,40,3,12 74 79 178 208 252 259 271 330
121,Olympic Blue,#5981b5,89,129,181,69,44,10,0,44 67 157 194 231 274 324
122,Blue,#0065b3,0,101,179,95,54,0,0,49 51 88 143 154 186 191 215 257 267 295 333
123,Antwarp Blue,#006e93,0,110,147,100,40,30,10,85 106 114 140 163 172 208 244 258 281 299 302 334
124,Helvetia Blue,#00558e,0,85,142,100,62,19,10,39 48 161 187 218 259 312 347
125,Dark Medici Blue,#527177,82,113,119,70,45,45,15,160 224 241 249
126,Dusky Green,#005247,0,82,71,100,30,64,50,94 219 225 278 284 318 332 338
127,Deep Lyons Blue,#033983,3,57,131,100,85,15,6,22 38 101 126 179 199 236 247 314 344
128,Violet Blue,#373f68,55,63,104,85,79,38,16,75 83 89 98 125 233 286 289 297 309 339
129,Vandar Poel's Blue,#00486c,0,72,108,100,73,43,10,5 77 151 167 168 309 343
130,Dark Tyrian Blue,#0a3552,10,53,82,90,66,36,50,2 60 67 119 141 245 279
131,Dull Violet Black,#170e41,23,14,65,95,106,38,50,95 106 145 265 277 289 295 331
132,Deep Indigo,#001231,0,18,49,100,92,52,60,6 28 139 155 182 211 232
133,Deep Slate Green,#0b2f2c,11,47,44,80,50,60,70,84 149 166 271 318 325
134,Grayish Lavender - A,#c0b8db,192,184,219,28,28,0,0,8 15 159 177 218 248 307
135,Grayish Lavender - B,#c7b0b8,199,176,184,25,33,20,0,47 56 174 187 235 327 329 338
136,Laelia Pink,#cf97ab,207,151,171,20,48,18,0,20 254 280 337
137,Lilac,#bf87b0,191,135,176,28,54,8,0,143 162 282 347
138,Eupatorium Purple,#c1528e,193,82,142,25,79,12,0,215 315 322
139,Light Mauve,#a070a8,160,112,168,43,62,5,0,23 80 128 134 180 274 331
140,Aconite Violet,#a966a2,169,102,162,39,68,5,0,43 64 90 187 220 257 269 301 307 324 344
141,Dull Blue Violet,#816e9d,129,110,157,57,60,17,0,9 100
142,Dark Soft Violet,#645b99,100,91,153,70,68,13,0,64 127 197
143,Blue Violet,#614498,97,68,152,72,80,0,0,116 175 196 322 345
144,Purple Drab,#8e585a,142,88,90,38,65,49,26,236
145,Deep Violet / Plumbeous,#72737c,114,115,124,61,52,43,7,183 192 218
146,Veronia Purple,#94495e,148,73,94,42,78,46,15,13 24 168 183
147,Dark Slate Purple,#703d51,112,61,81,64,85,60,10,225 248
148,Taupe Brown,#854659,133,70,89,30,70,35,40,57 123 174 224 275 280 288
149,Violet Carmine,#703645,112,54,69,64,90,70,10,337
150,Violet,#443580,68,53,128,85,90,18,0,42 56 130 156 164 181 205 214 226 316 331 335
151,Red Violet,#551c68,85,28,104,76,100,25,15,4 37 134 136 170 172 183 316
152,Cotinga Purple,#520e45,82,14,69,66,100,42,40,61 181 238 253 307 329 348
153,Dusky Madder Violet,#4d194a,77,25,74,75,100,46,30,18 50 53 82 103 314
154,White,#ffffff,255,255,255,0,0,0,0,55
155,Neutral Gray,#c0c7c6,192,199,198,29,18,20,0,34 139 180 195 197 221 228 229 273 303 324 340
156,Mineral Gray,#afbbb5,175,187,181,33,18,25,7,11 30
157,Warm Gray,#acac9e,172,172,158,37,28,36,3,69 76 81 143 169 238 259 261
158,Slate Color,#2c424a,44,66,74,85,70,62,30,27 33 57 140 202 243 245 251 253 263 296 329 335
159,Black,#191110,25,17,16,20,10,15,100,46 52 62 69 112 117 144 190 207 216 221 242 255 256 269 276 288 298 313 323 337 340 344
